"423";"02/01/2020 00:00:00";"NEWYORK HARMONY";"MARAJO LOGISTICA E SERVIÇOS LTDA";"DESCARGA";"COQUE";"29.950";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/NEWYORK_HARMONY.jpg'/>";"DESCARGA DE 29.950 TNS. DE COQUE A GRANEL"
"421";"23/12/2019 00:00:00";"SEA BLISS";"MARAJO LOGISTICA E SERVIÇOS LTDA";"DESCARGA";"TRIGO";"10.000";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/CLIPPER_BLISS.jpg'/>";"DESCARGA DE 10.000 TNS. DE TRIGO A GRANEL"
"419";"21/12/2019 00:00:00";"TOKI ARROW";"HEYTOR GUSMÃO COM E REPR. LIMITADA";"VIGIA";"COQUE";"35.150";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/TOKI_ARROW.jpg'/>";"ESCALAÇAO VIGIA"
"420";"21/12/2019 00:00:00";"TOKI ARROW";"MARAJO LOGISTICA E SERVIÇOS LTDA";"DESCARGA";"COQUE";"35.150";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/TOKI_ARROW.jpg'/>";"DESCARGA DE 35.150 TNS. DE COQUE A A GRANEL"
"418";"09/12/2019 00:00:00";"ALCYONE";"MARAJO LOGISTICA E SERVIÇOS LTDA";"DESCARGA";"TRIGO";"16.100";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/ALCYONE.jpg'/>";"DESCARGA DE 16.100 TNS. DE TRIGO A GRANEL"
"416";"04/12/2019 00:00:00";"PARANA WARRIOR";"MARAJO LOGISTICA E SERVIÇOS LTDA";"VIGIA";"CEVADA";"9.000";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/PARANA_WARRIOR.jpg'/>";"ESCALAÇAO VIGIA"
"417";"04/12/2019 00:00:00";"PARANA WARRIOR";"TOP LOG TRANSP. E OPER PORTUARIAS LTDA";"DESCARGA";"CEVADA";"9.000";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/PARANA_WARRIOR.jpg'/>";"DESCARGA DE 9.000 TNS. DE CEVADA  A GRANEL"
"414";"01/12/2019 00:00:00";"SBI ACHILLIES";"HEYTOR GUSMÃO COM E REPR. LIMITADA";"VIGIA";"COQUE";"29.700";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/SBI_ACHILLES.jpg'/>";"ESCALAÇAO VIGIA"
"415";"01/12/2019 00:00:00";"SBI ACHILLIES";"MARAJO LOGISTICA E SERVIÇOS LTDA";"DESCARGA";"COQUE";"29.700";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/SBI_ACHILLES.jpg'/>";"DESCARGA DE 29.700 Tns. DE COQUE  GRANEL"
"413";"25/11/2019 00:00:00";"TORRENT";"HEYTOR GUSMÃO COM E REPR. LIMITADA";"DESCARGA";"BENTONITA";"19.500";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/TORRENT.jpg'/>";"DESCARGA DE 19.500 Tns.  DE BENTONITA A GRANEL"
"412";"21/11/2019 00:00:00";"SPRING BREEZE";"MARAJO LOGISTICA E SERVIÇOS LTDA";"DESCARGA";"TRIGO";"11.000";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/SPRING_BREEZE.jpg'/>";"DESCARGA DE 11.000 Tns. DE TRIGO A GRANEL"
"411";"18/11/2019 00:00:00";"NORD TAIPEI";"MARAJO LOGISTICA E SERVIÇOS LTDA";"DESCARGA";"TRIGO";"10.000";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/NORD_TAIPEI.jpg'/>";"DESCARGA DE 10.000 TNS. DE TRIGO A GRANEL"
"409";"11/11/2019 00:00:00";"PUFFIN ARROW";"HEYTOR GUSMÃO COM E REPR. LIMITADA";"VIGIA";"CEVADA";"4.000";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/PUFFIN_ARROW.jpg'/>";"ESCALAÇAO VIGIA"
"410";"11/11/2019 00:00:00";"PUFFIN ARROW";"TOP LOG TRANSP. E OPER PORTUARIAS LTDA";"DESCARGA";"CEVADA";"4.000";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/PUFFIN_ARROW.jpg'/>";"DESCARGA DE 4.000 TNS. DE CEVADA A GRANEL"
"407";"07/11/2019 00:00:00";"HAPPY DIAMOND";"HEYTOR GUSMÃO COM E REPR. LIMITADA";"VIGIA";"CEVADA";"4.500";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/HAPPY_DIAMOND.jpg'/>";"ESCALAÇAO VIGIA"
"408";"07/11/2019 00:00:00";"HAPPY DIAMOND";"TOP LOG TRANSP. E OPER PORTUARIAS LTDA";"DESCARGA";"CEVADA";"4.500";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/HAPPY_DIAMOND.jpg'/>";"DESCARGA DE 4.500 TNS. DE CEVADA A GRANEL"
"406";"06/11/2019 00:00:00";"FEDERAL SPEY";"MARAJO LOGISTICA E SERVIÇOS LTDA";"DESCARGA";"TRIGO";"13.000";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/FEDERAL_SPEY.jpg'/>";"DESCARGA DE 13.000 TNS. DE TRIGO A GRANEL"
"405";"31/10/2019 00:00:00";"UGLJAN";"MARAJO LOGISTICA E SERVIÇOS LTDA";"DESCARGA";"TRIGO";"6.230";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/UGLJAN.jpg'/>";"DESCARGA DE 6.230 TNS. DE TRIGO A GRANEL"
"403";"20/10/2019 00:00:00";"PACIFIC HURON";"TOP LOG TRANSP. E OPER PORTUARIAS LTDA";"DESCARGA";"CEVADA";"9.020";"<img style='width:80px; height:60px;' src='../scriptcase/file/img/navio/PACIFIC_HURON.jpg'/>";"DESCARGA DE 9.020 TNS. DE CEVADA A GRANEL"
