RECLAMAÇÕES 2021 - JAN/AGO;;;;;
;;;;;
Data de entrada;Região;Razão Social;Área;Status da Reclamação;Proveniência
16/04/2021;ZONA SUL;BANCO DAYCOVAL S.A.;Assuntos Financeiros;CONCLUÍDA;Online
16/04/2021;ZONA NORTE;ASSOCIACAO CRISTA DE MOCOS DE SAO PAULO;Não Informado;CANCELADA PELO CONSUMIDOR;Online
19/04/2021;ZONA OESTE;LAMP ACADEMIA DE GINASTICA LTDA;Serviços Privados;CONCLUÍDA;Online
19/04/2021;NÃO INFORMADO;DUBAI-TUR TRANSPORTES LTDA;Serviços Privados;CONCLUÍDA;Online
19/04/2021;ZONA SUL;CLARO S.A.;Serviços Essenciais;CONCLUÍDA;Online
19/04/2021;ZONA NORTE;SMARTFIT ESCOLA DE GINASTICA E DANCA S.A;Serviços Privados;CONCLUÍDA;Online
20/04/2021;FORA DA CIDADE DE SÃO PAULO;LOJAS AMERICANAS S.A.;Produtos;CONCLUÍDA;Online
20/04/2021;ZONA LESTE;FORLIFE SUZANO INCORPORADORA SPE LTDA;Habitação;CONCLUÍDA;Online
20/04/2021;NÃO INFORMADO;REI DA OFERTA COMERCIO EM GERAL LTDA;Produtos;CONCLUÍDA;Online
20/04/2021;FORA DA CIDADE DE SÃO PAULO;VITA BE COSMETICOS LTDA;Produtos;CONCLUÍDA;Online
20/04/2021;ZONA SUL;CONCORDIA LOCADORA DE VEICULOS E SERVICOS LTDA;Serviços Privados;CONCLUÍDA;Online
20/04/2021;FORA DA CIDADE DE SÃO PAULO;TELEFONICA BRASIL S.A.;Serviços Essenciais;CONCLUÍDA;Online
20/04/2021;ZONA LESTE;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;Serviços Essenciais;CONCLUÍDA;Online
20/04/2021;ZONA LESTE;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;Serviços Essenciais;CONCLUÍDA;Online
20/04/2021;ZONA NORTE;BOM NEGOCIO ATIVIDADES DE INTERNET LTDA;Produtos;CONCLUÍDA;Online
21/04/2021;ZONA SUL;BANCO SANTANDER (BRASIL) S.A.;Assuntos Financeiros;CONCLUÍDA;Online
21/04/2021;ZONA SUL;BANCO SANTANDER (BRASIL) S.A.;Assuntos Financeiros;CONCLUÍDA;Online
21/04/2021;ZONA SUL;APPLE COMPUTER BRASIL LTDA;Produtos;CONCLUÍDA;Online
22/04/2021;ZONA NORTE;DR. CONSULTA CENTRO MEDICO LTDA;Saúde;EM PROCESSAMENTO;Online
22/04/2021;ZONA OESTE;TIM S A;Serviços Essenciais;CONCLUÍDA;Online
22/04/2021;ZONA SUL;BANCO SANTANDER (BRASIL) S.A.;Assuntos Financeiros;CONCLUÍDA;Online
22/04/2021;FORA DA CIDADE DE SÃO PAULO;SECRETARIA MUNICIPAL DA FAZENDA;Serviços Essenciais;CONCLUÍDA;Online
22/04/2021;ZONA SUL;IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.;Alimentos;CONCLUÍDA;Online
22/04/2021;ZONA NORTE;BRASIL CARD MEIOS DE PAGAMENTOS LTDA;Assuntos Financeiros;CONCLUÍDA;Online
22/04/2021;FORA DA CIDADE DE SÃO PAULO;THABER DECOR COMERCIO DE DECORACOES LTDA;Produtos;CONCLUÍDA;Online
23/04/2021;ZONA LESTE;ASSUPERO ENSINO SUPERIOR LTDA.;Serviços Privados;FINALIZADA;Online
24/04/2021;ZONA LESTE;APPLE COMPUTER BRASIL LTDA;Produtos;CONCLUÍDA;Online
24/04/2021;ZONA LESTE;BP PROMOTORA DE VENDAS LTDA.;Assuntos Financeiros;CONCLUÍDA;Online
25/04/2021;CENTRO;DECOLAR. COM LTDA.;Serviços Privados;CONCLUÍDA;Online
26/04/2021;CENTRO;CONSERTA SACADA LTDA;Produtos;FINALIZADA;Online
26/04/2021;ZONA NORTE;CARTAO DE TODOS DE SANTO ANDRE ADMINISTRADORA DE CARTOES LTDA;Assuntos Financeiros;CONCLUÍDA;Online
27/042021;FORA DA CIDADE DE SÃO PAULO;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;Serviços Privados;CONCLUÍDA;Online
27/04/2021;ZONA LESTE;PABLO FERREIRA PERPETUO (ME);Serviços Privados;FINALIZADA;Online
28/04/2021;ZONA NORTE;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;Serviços Essenciais;CONCLUÍDA;Online
28/04/2021;ZONA SUL;DEPARTAMENTO ESTADUAL DE TRANSITO;Serviços Essenciais;CONCLUÍDA;Online
28/04/2021;FORA DA CIDADE DE SÃO PAULO;PAGSEGURO INTERNET S.A.;Assuntos Financeiros;CONCLUÍDA;Online
29/04/2021;FORA DA CIDADE DE SÃO PAULO;NÃO INFORMADO;Serviços Privados;CONCLUÍDA;Online
29/04/2021;ZONA NORTE;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;Serviços Privados;CONCLUÍDA;Online
29/04/2021;ZONA NORTE;BIOMATER BIOPLASTICOS COMERCIAL, IMPORTADORA E EXPORTADORA LTDA;Produtos;EM PROCESSAMENTO;Online
01/05/2021;CENTRO;C&A MODAS S.A.;Produtos;CONCLUÍDA;Online
02/05/2021;FORA DA CIDADE DE SÃO PAULO;APPLE COMPUTER BRASIL LTDA;Produtos;CONCLUÍDA;Online
02/05/2021;FORA DA CIDADE DE SÃO PAULO;PICPAY SERVICOS S.A;Assuntos Financeiros;CONCLUÍDA;Online
03/05/2021;ZONA LESTE;UBER DO BRASIL TECNOLOGIA LTDA.;Assuntos Financeiros;EM PROCESSAMENTO;Online
03/05/2021;ZONA SUL;SMARTFIT ESCOLA DE GINASTICA E DANCA S.A;Serviços Privados;CONCLUÍDA;Online
03/05/2021;ZONA SUL;ATELEX DO BRASIL TELECOMUNICACOES LTDA;Serviços Privados;CONCLUÍDA;Online
03/05/2021;ZONA LESTE;TELEFONICA BRASIL S.A.;Serviços Essenciais;EM PROCESSAMENTO;Online
03/05/2021;FORA DA CIDADE DE SÃO PAULO;MOBLY S.A.;Produtos;CONCLUÍDA;Online
04/05/2021;ZONA SUL;SUL AMERICA COMPANHIA DE SEGURO SAUDE;Saúde;CONCLUÍDA;Online
